@relation sheet
@attribute in1 real
@attribute in2 real
@attribute in3 real
@attribute in4 real
@attribute in5 real
@attribute in6 real
@attribute in7 real
@attribute in8 real
@attribute in9 real
@attribute in10 real
@attribute in11 real
@attribute in12 real
@attribute class {Pass,Fail}
@data
394,0,0,4391,6,8579,3,1895,22,0,1,0,Pass
1491,1,0,5191,98,3425,1,1207,835,1,0,1,Pass
1451,1,0,4811,964,397,2,1152,1373,0,1,0,Pass
1116,1,1,1155,23,6037,2,932,1714,1,0,0,Pass
1202,1,1,9808,336,6085,3,1637,650,0,0,0,Pass
707,1,1,6632,195,9285,1,1070,1417,1,0,1,Pass
180,0,1,533,385,2041,1,1740,1319,0,0,2,Pass
1150,0,0,140,478,2732,1,65,388,0,2,1,Pass
919,0,0,5493,393,3009,3,1160,401,0,0,2,Pass
1813,0,1,1151,220,6271,2,386,1634,0,2,0,Pass
1444,1,0,5349,891,3023,3,595,518,1,1,1,Pass
544,1,0,9017,89,8557,3,1954,641,1,2,2,Pass
1814,0,1,3123,670,607,3,292,328,0,0,0,Pass
1901,0,0,8846,629,1854,3,1564,1907,1,1,0,Pass
1226,0,1,8679,249,631,1,1594,1305,0,0,2,Pass
1544,0,0,4348,342,261,2,1621,861,0,0,0,Pass
1757,0,0,3397,493,7015,2,1341,1710,1,0,2,Pass
1969,1,1,7305,185,1312,2,473,1251,1,1,2,Pass
466,0,0,136,15,6696,3,1299,1405,1,0,2,Pass
1578,0,1,6584,554,709,2,1539,1758,1,0,0,Pass
474,1,0,6711,20,7647,0,1431,1359,1,1,1,Pass
759,1,0,4308,752,5334,0,1061,1911,0,0,2,Pass
1210,0,1,9954,795,6873,1,130,143,1,1,2,Pass
1917,1,0,7090,858,9997,3,1434,1946,0,1,1,Pass
921,0,1,3524,175,9471,1,1860,1689,1,1,1,Pass
1540,1,0,9650,253,5455,2,1818,964,0,0,1,Pass
1119,1,1,4833,203,7570,0,202,333,0,2,0,Pass
150,1,0,6205,61,7756,2,756,662,0,2,2,Pass
1864,1,0,3736,333,9679,0,1417,330,0,2,0,Pass
926,1,1,5110,40,9147,1,372,464,1,0,2,Pass
144,0,0,7664,420,5371,0,288,1012,1,2,1,Pass
1402,0,0,1356,903,2209,3,957,1160,0,0,2,Pass
389,0,0,701,522,4662,3,568,1343,1,2,1,Pass
1738,1,0,6837,996,1049,2,1775,961,1,0,0,Pass
825,0,1,3243,611,8619,3,1510,1618,0,2,2,Pass
1855,1,1,5955,805,8683,3,273,212,1,1,2,Pass
605,0,0,8449,797,3532,1,1750,1717,1,2,0,Pass
221,0,1,865,825,7497,0,1382,987,1,1,0,Pass
1128,0,0,5678,511,2681,3,624,244,0,2,0,Pass
251,0,1,4245,175,508,1,1098,34,1,1,1,Pass
1343,1,0,6845,907,4600,0,501,1258,1,0,0,Pass
1470,1,1,2590,530,3609,0,805,1397,0,2,2,Pass
282,0,1,2228,436,9053,1,433,1911,1,1,2,Pass
290,0,1,8437,608,209,3,149,821,0,0,2,Pass
86,0,0,6735,785,8306,2,250,652,0,0,2,Pass
481,1,1,8831,711,1915,0,231,148,1,2,0,Pass
238,1,1,4888,673,1902,2,510,1098,0,1,1,Pass
26,0,0,5816,631,7658,3,493,277,0,1,0,Pass
961,0,0,5392,765,1425,0,1911,247,0,1,0,Pass
621,1,0,793,3,1836,0,1991,1773,0,1,1,Pass
