@relation sheet
@attribute in1 real
@attribute in2 real
@attribute in3 real
@attribute in4 real
@attribute in5 real
@attribute in6 real
@attribute in7 real
@attribute in8 real
@attribute in9 real
@attribute in10 real
@attribute in11 real
@attribute in12 real
@attribute class {Pass,Fail}
@data
1813,1,0,993,838,9209,0,618,482,1,1,0,Pass
170,1,1,8522,151,5596,3,880,1037,1,1,0,Pass
45,1,1,8830,47,9892,0,589,430,0,2,1,Pass
590,0,0,182,57,3996,2,163,1350,1,0,1,Pass
811,1,1,6205,505,1289,0,1309,438,1,0,0,Pass
1177,1,1,5692,709,696,0,1857,696,0,0,1,Pass
854,0,0,409,14,3087,2,1115,1302,1,0,2,Pass
786,0,1,1944,240,5958,3,830,1439,0,1,2,Pass
614,0,0,8630,417,5481,1,370,957,1,2,1,Pass
1397,1,1,1174,61,820,0,1005,108,0,1,1,Pass
231,1,1,915,511,4194,1,1848,1500,1,1,0,Pass
476,0,0,7097,228,7243,2,903,1199,1,0,0,Pass
644,1,0,6200,25,6177,2,1740,790,1,2,0,Pass
757,0,0,3901,973,3950,0,496,909,0,0,2,Pass
1277,1,0,6615,833,3989,2,1799,1167,0,0,2,Pass
1407,0,1,5147,962,8666,0,1400,1451,0,0,2,Pass
1251,1,1,2333,513,1512,1,1230,429,1,1,0,Pass
781,0,1,7124,889,9318,1,518,801,0,1,0,Pass
119,0,0,9536,31,8046,0,13,427,0,1,2,Pass
1362,0,1,2468,952,3747,1,925,729,1,2,2,Pass
415,0,1,546,452,2149,0,876,513,1,2,0,Pass
1316,0,1,6462,584,5195,3,1161,414,0,0,2,Pass
34,1,0,859,985,2645,2,1212,1261,1,2,0,Pass
347,1,0,5925,188,2869,0,914,831,1,1,1,Pass
1752,1,0,369,177,5584,3,842,974,1,1,2,Pass
1375,0,0,3359,39,6654,2,1510,618,1,2,1,Pass
1259,0,0,5763,730,1122,0,1049,773,0,0,1,Pass
1870,0,0,9906,530,6063,3,1106,849,0,0,1,Pass
1433,0,0,5207,269,1761,0,747,1667,1,2,0,Pass
1235,1,1,9051,68,7100,1,88,1304,0,1,2,Pass
1712,0,0,5362,82,5628,0,583,1070,1,0,1,Pass
1313,1,0,3456,296,5937,0,552,1574,1,2,2,Pass
1440,1,0,1135,846,2238,2,1314,1148,1,0,0,Pass
1495,0,1,852,723,4278,3,427,1824,1,1,1,Pass
1214,0,1,2277,469,1243,2,633,1351,1,2,1,Pass
1257,0,1,8497,492,8283,0,737,1442,0,0,1,Pass
700,0,1,5317,57,9024,1,1427,1928,0,0,1,Pass
494,1,0,7694,771,1084,0,553,1815,0,1,1,Pass
498,1,1,7544,889,3686,1,1555,973,0,1,0,Pass
1933,0,0,7001,115,6541,0,664,572,0,0,2,Pass
153,1,0,1347,899,6191,1,274,1747,1,2,2,Pass
368,0,1,2061,849,7228,1,830,194,0,1,2,Pass
715,0,0,757,796,341,1,1384,1389,1,2,1,Pass
481,1,0,6940,627,2180,3,1239,1881,0,2,1,Pass
1973,0,1,262,219,9248,0,1490,796,1,1,1,Pass
224,0,1,5316,531,3927,0,167,870,1,2,1,Pass
1478,1,1,8392,522,9551,3,1147,1461,1,0,2,Pass
1500,1,1,5885,490,8194,0,1932,1886,1,1,2,Pass
798,1,1,5272,589,1949,3,199,832,1,1,0,Pass
902,0,0,936,349,9596,2,1902,906,0,1,2,Pass
640,1,1,3197,818,2300,3,562,995,0,2,0,Pass
146,0,1,7567,220,4726,0,736,833,1,2,1,Pass
1841,1,0,9031,831,956,0,531,1227,1,1,0,Pass
1174,0,1,1626,678,7594,2,175,418,1,2,2,Pass
1783,0,1,7647,176,8595,2,509,276,1,2,0,Pass
1385,1,1,7495,559,5294,3,960,1752,0,1,0,Pass
267,0,0,7084,807,3397,3,795,1981,0,1,0,Pass
1398,1,0,191,67,1489,3,1893,388,1,2,2,Pass
1480,1,1,2666,395,5436,0,1827,1910,1,2,0,Pass
7,1,0,7463,569,699,0,616,487,0,0,2,Pass
186,1,1,1411,531,4159,0,419,401,0,2,1,Pass
1867,1,1,4907,698,9632,1,1980,1606,1,1,1,Pass
33,0,1,6425,224,1326,3,1525,325,0,2,0,Pass
706,0,1,9715,240,4269,3,1762,1093,1,2,1,Pass
1932,1,0,856,646,5299,2,956,55,0,0,0,Pass
620,0,0,5552,255,6471,2,976,845,1,2,0,Pass
47,0,0,6119,84,8737,3,183,496,0,2,1,Pass
557,1,1,6750,728,5042,1,1066,1959,0,2,0,Pass
974,1,1,4855,336,583,2,620,1787,0,1,1,Pass
12,1,0,8915,354,438,3,1195,510,1,1,1,Pass
1984,1,1,3953,653,8732,0,1453,1988,0,2,1,Pass
544,0,1,2317,935,2362,0,1307,546,1,0,2,Pass
733,1,1,2619,502,435,3,1413,1114,0,2,2,Pass
403,0,1,918,518,4139,2,218,960,1,2,1,Pass
1617,0,0,4882,752,9911,3,746,782,0,0,1,Pass
976,1,0,338,867,9220,2,482,172,0,1,1,Pass
1527,1,1,3551,941,8478,3,956,1635,1,0,0,Pass
789,1,1,8846,393,8391,0,1160,56,1,0,0,Pass
223,0,0,8100,116,1353,3,370,797,0,1,2,Pass
1,0,1,1841,986,9905,0,618,394,1,0,0,Pass
906,0,1,7215,434,3936,1,258,1618,1,0,0,Pass
1383,0,1,5085,770,4121,0,304,1642,0,1,1,Pass
1194,0,1,7188,468,6377,3,1865,445,0,1,1,Pass
698,1,1,9534,216,7343,0,1614,1458,1,0,1,Pass
1667,1,0,5046,859,8449,0,1373,902,1,1,1,Pass
272,0,0,6184,909,4559,3,1279,1133,0,0,2,Pass
556,0,0,9070,968,256,3,993,795,1,2,2,Pass
1409,0,1,7196,995,7518,0,1337,890,0,0,0,Pass
1471,1,1,1120,958,1496,0,336,140,1,0,0,Pass
965,0,0,210,592,1563,0,622,999,1,0,2,Pass
789,1,1,2044,76,7125,1,1487,615,1,2,1,Pass
522,1,1,2654,626,9118,1,1928,502,1,2,2,Pass
508,0,1,7193,289,9404,0,1389,176,0,0,1,Pass
316,1,0,5326,273,7979,1,587,860,1,2,2,Pass
546,1,1,1482,270,7151,1,357,1980,0,2,2,Pass
59,0,0,1576,416,5726,2,1141,557,1,2,1,Pass
1784,1,1,1708,95,6662,3,1977,466,1,2,1,Pass
1593,0,0,7359,540,5807,1,1616,1890,1,1,2,Pass
656,0,0,5956,323,213,0,695,617,1,1,2,Pass
1098,0,0,2670,892,3374,2,1901,1652,1,1,2,Pass
304,0,0,3588,416,6331,1,423,1326,1,0,0,Pass
691,0,1,6250,432,8742,2,376,1438,0,0,2,Pass
509,0,1,5973,833,3696,0,1178,1419,0,1,1,Pass
1340,0,0,3219,732,7869,1,858,288,0,1,2,Pass
609,0,1,1517,257,5525,1,667,161,1,1,2,Pass
1726,1,0,3810,371,5137,1,465,1767,0,0,2,Pass
1942,0,0,3817,918,5734,2,1439,304,1,2,2,Pass
486,1,0,4794,580,7610,2,104,1943,0,2,0,Pass
1002,0,1,2034,791,5498,2,1335,1930,0,1,1,Pass
209,1,1,5450,728,4365,0,756,1458,0,0,2,Pass
793,1,0,9179,582,9136,3,1068,452,0,0,0,Pass
271,1,1,8824,530,5302,3,547,830,0,0,1,Pass
310,0,0,4639,335,8738,0,1456,1462,1,2,1,Pass
417,0,0,134,55,5659,0,125,499,1,0,2,Pass
131,1,1,3606,24,9829,2,723,1670,0,0,2,Pass
395,1,0,5695,597,687,0,1990,1883,1,0,0,Pass
1493,0,1,6096,904,9717,0,858,769,1,0,1,Pass
179,0,1,9257,532,9371,1,1673,497,1,1,2,Pass
1970,0,0,4999,385,3355,0,1431,1923,1,1,0,Pass
1153,0,1,4995,600,2245,1,1997,308,1,2,2,Pass
804,0,0,5151,574,8218,1,550,1035,0,2,0,Pass
941,1,0,3495,765,8028,3,1826,130,1,2,0,Pass
1539,1,0,9576,854,1452,2,1805,185,0,1,1,Pass
1717,1,1,1703,50,8968,3,1827,429,1,0,2,Pass
639,0,1,489,183,5496,3,986,224,1,0,1,Pass
1413,0,0,5299,944,5453,2,116,1466,0,0,0,Pass
20,0,1,726,885,1086,1,1863,788,0,0,1,Pass
1725,1,0,5872,377,3991,0,1699,1597,0,1,0,Pass
389,0,1,1433,457,231,0,696,1725,0,2,0,Pass
623,0,0,8161,946,9229,0,1514,511,0,2,0,Pass
371,1,1,5867,643,3848,2,1050,1283,0,1,2,Pass
863,0,0,2304,729,1953,3,906,1257,1,1,1,Pass
1923,0,1,6043,625,3902,0,453,1377,0,1,1,Pass
162,0,1,8372,368,7677,3,368,247,1,2,2,Pass
1963,0,0,5267,582,2355,0,1641,403,1,0,2,Pass
1440,1,1,4315,361,7335,1,962,1510,1,1,1,Pass
934,0,1,5241,269,2230,3,1043,1513,1,1,2,Pass
418,0,0,7632,112,332,3,226,279,1,0,1,Pass
477,1,0,2122,668,8773,1,135,690,0,2,1,Pass
1637,1,1,4373,453,295,3,920,266,0,2,2,Pass
1532,1,1,3904,466,2501,2,1270,146,0,2,2,Pass
902,1,0,3368,736,6554,2,666,724,1,0,0,Pass
1892,1,0,3179,561,9622,1,1304,1596,1,0,0,Pass
965,1,0,1985,587,7073,1,966,58,1,0,1,Pass
1235,0,0,2074,21,5251,2,801,1641,0,1,2,Pass
1155,1,1,4800,684,3077,3,1701,757,1,2,0,Pass
1198,0,1,1298,52,4479,0,1311,385,0,2,0,Pass
20,0,0,9938,402,5317,2,73,989,1,2,2,Pass
536,0,1,3780,973,5464,0,1352,349,1,2,0,Pass
399,0,1,9100,780,8973,0,1038,1470,0,2,1,Pass
1801,0,1,3498,986,7509,3,624,1772,0,0,0,Pass
137,0,0,4733,421,8498,2,715,470,0,2,0,Pass
600,1,0,4537,406,5466,1,784,1595,1,2,1,Pass
606,1,0,2910,491,8643,3,1680,1446,1,0,1,Pass
738,1,1,543,208,98,1,1326,619,1,0,1,Pass
376,1,0,2931,371,1736,2,824,397,0,0,0,Pass
258,1,0,5204,982,162,0,810,272,1,0,1,Pass
262,1,1,2698,784,5012,0,7,625,0,1,1,Pass
1415,1,0,1676,724,7323,2,189,1277,1,0,1,Pass
1383,1,1,3370,938,6774,1,764,470,1,1,2,Pass
1682,0,0,5106,763,6711,3,634,313,1,0,2,Pass
1438,1,0,3605,359,3506,0,463,437,1,2,2,Pass
1029,0,1,6844,475,1081,1,1344,1470,1,0,1,Pass
1980,1,1,5685,838,2827,0,850,375,0,0,2,Pass
1622,1,1,940,18,2064,2,1717,1589,0,1,2,Pass
553,0,1,6800,440,9019,1,130,808,1,1,1,Pass
1274,0,0,7260,443,660,1,91,972,1,1,2,Pass
1132,1,1,1510,150,8663,0,1606,181,1,1,1,Pass
1995,1,1,7424,777,7702,0,989,257,1,0,1,Pass
591,1,0,369,790,1119,0,541,1231,1,1,0,Pass
1779,1,0,3990,394,1042,0,1281,1029,1,1,0,Pass
1213,1,1,9010,710,5962,0,1635,1718,0,2,0,Pass
640,1,0,5176,229,9630,1,1558,1418,1,2,0,Pass
1060,0,0,2841,888,2093,0,1227,1391,1,1,0,Pass
702,0,1,8199,300,1323,0,1158,469,0,0,0,Pass
1156,0,0,3245,357,3027,3,1476,1184,1,0,0,Pass
449,1,0,7008,76,4690,1,388,1341,1,0,0,Pass
830,0,1,814,250,677,1,679,959,1,2,0,Pass
713,1,0,5241,712,999,1,1085,299,1,0,1,Pass
1238,1,0,2152,703,8018,1,1446,967,0,2,1,Pass
812,0,0,3987,130,9400,1,1690,153,1,1,0,Pass
786,1,0,5121,804,1430,1,669,1267,0,1,1,Pass
1632,0,0,1016,931,1854,2,1179,644,1,1,2,Pass
842,1,1,5321,747,1782,0,1171,1602,0,1,0,Pass
1630,1,1,349,79,697,3,1003,1979,0,1,0,Pass
1127,1,0,4360,257,3472,2,841,1362,0,2,2,Pass
529,0,0,5424,194,1382,0,81,622,1,2,0,Pass
180,1,1,7954,829,2910,1,1480,1413,1,1,2,Pass
1669,1,1,1402,110,1082,2,1692,1248,1,0,1,Pass
1248,0,0,1109,432,5779,0,1365,1696,1,2,0,Pass
586,0,0,317,443,2839,2,1556,342,0,1,2,Pass
1162,0,0,6327,12,7867,3,1583,1175,1,1,2,Pass
31,1,1,9909,990,7477,2,175,1270,1,0,0,Pass
405,0,1,9707,78,1869,1,1662,339,1,1,0,Pass
1224,1,1,9688,460,489,2,1368,1801,0,1,0,Pass
1490,0,0,7084,620,763,3,36,1773,1,1,1,Pass
345,0,0,7736,36,944,1,519,1370,1,2,1,Pass
201,1,1,3455,144,8575,1,223,1169,1,1,0,Pass
1593,0,1,383,769,3315,0,591,1701,0,2,2,Pass
401,1,1,7668,732,9086,3,595,1532,1,2,0,Pass
1569,1,0,4801,926,9347,1,410,1241,1,0,0,Pass
1396,1,0,7700,332,8568,3,1139,1439,1,1,2,Pass
75,1,1,6269,217,9485,3,1118,1112,1,2,0,Pass
1277,0,1,4770,816,3796,1,328,555,1,1,2,Pass
115,0,1,6363,625,4390,3,362,498,1,0,0,Pass
362,1,1,2717,464,9894,2,1830,947,1,1,1,Pass
1962,0,0,1773,200,8414,2,503,270,0,0,0,Pass
1691,0,1,6139,551,1660,0,1404,205,0,1,2,Pass
1742,0,1,1840,650,9056,2,1658,130,1,2,1,Pass
577,1,0,333,753,9307,2,451,1921,1,0,2,Pass
276,0,1,9434,173,2782,3,1391,1126,0,0,0,Pass
305,0,0,1057,437,4789,0,1149,1146,0,0,1,Pass
1487,0,0,4380,264,7656,3,942,166,0,0,0,Pass
1263,1,0,1786,268,2565,2,23,369,1,2,1,Pass
1095,0,0,817,45,804,1,360,334,0,0,1,Pass
1715,1,0,9112,641,9776,1,438,101,0,0,1,Pass
740,1,1,9564,152,2678,0,1113,1228,1,0,0,Pass
920,0,1,5156,80,580,2,44,1814,1,2,1,Pass
1249,0,1,9276,805,6840,1,1495,1841,1,1,0,Pass
712,1,1,2755,615,4971,2,946,966,1,1,0,Pass
506,0,0,2794,302,5169,1,416,465,0,2,2,Pass
451,1,0,9265,337,3320,0,94,1432,1,2,1,Pass
1470,1,1,7640,227,8561,0,286,191,0,2,0,Pass
998,0,1,6855,254,7431,3,1405,817,0,1,0,Pass
830,0,0,2626,713,2914,2,1173,1955,1,1,0,Pass
1652,1,0,7572,100,9711,1,504,1898,0,2,1,Pass
1244,1,0,1679,453,8951,3,402,1140,0,2,0,Pass
1409,1,1,678,162,5298,1,849,1564,1,0,0,Pass
430,1,0,3295,30,5903,0,1533,719,0,0,1,Pass
