@relation sheet
@attribute in1 real
@attribute in2 real
@attribute in3 real
@attribute in4 real
@attribute in5 real
@attribute in6 real
@attribute in7 real
@attribute in8 real
@attribute in9 real
@attribute in10 real
@attribute in11 real
@attribute in12 real
@attribute class {Pass,Fail}
@data
998,1,0,8097,361,4038,1,1215,1526,0,2,2,Pass
1288,1,0,6755,618,6073,0,1118,882,0,2,0,Pass
123,1,1,4281,470,1453,2,343,1708,0,0,0,Pass
1467,1,0,6801,866,7941,1,1161,66,1,1,1,Pass
539,1,0,2061,560,1612,1,934,208,1,1,2,Pass
1450,1,0,6647,212,6620,2,464,400,0,0,0,Pass
732,0,1,3306,20,6821,1,5,182,1,0,1,Pass
10,1,0,4995,532,7694,1,973,639,0,2,0,Pass
736,1,0,1054,628,4112,0,1644,335,1,2,0,Pass
554,0,1,6708,16,3786,1,1978,1005,0,2,0,Pass
836,0,0,9657,459,8757,1,215,1589,1,1,2,Pass
1764,0,1,316,672,8847,0,1988,817,0,0,2,Pass
1373,0,1,2639,902,6333,1,1621,1419,1,0,2,Pass
1865,1,1,622,62,5282,2,1417,1467,1,0,2,Pass
827,0,0,8628,252,9765,1,356,1024,0,0,1,Pass
888,0,0,4081,822,8264,0,1243,950,0,2,0,Pass
1033,1,1,1440,981,7259,1,1590,1308,0,2,0,Pass
118,1,0,7884,550,8392,1,780,903,0,0,1,Pass
393,0,1,7033,308,4544,2,816,543,1,1,2,Pass
998,1,1,3000,942,4266,3,225,509,0,1,0,Pass
251,0,1,2108,799,6613,2,1254,88,1,0,2,Pass
1393,0,0,5602,735,5899,3,704,98,0,1,1,Pass
1045,1,0,3093,684,8686,1,193,74,0,0,0,Pass
1916,1,0,8759,750,9400,3,1410,1815,0,2,0,Pass
1643,1,1,4531,813,6979,1,810,151,1,1,2,Pass
1016,1,1,4230,32,7039,2,34,1211,1,1,2,Pass
567,0,1,597,692,3546,0,1517,104,0,1,2,Pass
