@relation sheet
@attribute in1 real
@attribute in2 real
@attribute in3 real
@attribute in4 real
@attribute in5 real
@attribute in6 real
@attribute in7 real
@attribute in8 real
@attribute in9 real
@attribute in10 real
@attribute in11 real
@attribute in12 real
@attribute class {Pass,Fail}
@data
833,0,1,1714,940,1630,1,1223,310,0,2,2,Pass
1269,1,1,6896,47,3822,3,742,319,0,0,1,Pass
1902,0,0,9985,282,3497,1,1535,1021,1,0,1,Pass
1405,1,1,7267,963,4462,0,334,394,1,0,1,Pass
1574,0,0,6837,367,7493,3,276,649,0,0,2,Pass
1888,1,0,1180,901,3550,3,1930,736,1,2,2,Pass
1264,1,0,4104,999,1279,1,1636,875,0,2,2,Pass
666,0,0,4652,765,8140,3,254,1767,1,1,1,Pass
1083,1,0,3410,944,6130,0,1547,1058,1,0,2,Pass
1069,1,1,9141,656,7015,2,432,1620,0,2,1,Pass
576,1,0,8322,899,64,2,120,564,0,0,1,Pass
1625,1,1,8926,779,1166,3,521,50,1,0,1,Pass
1794,1,0,1443,258,5354,1,1852,964,0,1,0,Pass
1558,0,0,4014,116,6612,0,114,8,1,0,1,Pass
1472,1,0,7976,865,9539,3,1035,589,1,0,1,Pass
1911,0,1,5901,895,9311,0,632,726,0,0,2,Pass
1967,1,0,7889,472,3298,3,553,1909,0,0,0,Pass
1399,0,1,2742,277,5540,0,538,23,0,1,1,Pass
579,0,1,5395,87,3406,1,174,1257,1,0,2,Pass
702,1,1,296,917,1518,1,1927,703,0,0,2,Pass
1990,0,0,7253,871,3904,2,1268,261,1,2,2,Pass
92,1,0,8193,598,6325,0,1857,829,1,2,1,Pass
126,1,0,8095,494,837,2,1813,972,1,0,2,Pass
299,0,0,6418,298,3095,1,204,153,1,2,2,Pass
1466,0,1,6522,930,2745,0,1038,1435,0,2,0,Pass
319,0,0,5247,947,4323,0,1184,1829,1,0,0,Pass
1908,0,0,8067,955,4030,0,863,825,1,2,0,Pass
1272,1,1,3805,551,5690,2,1796,1294,0,0,0,Pass
